,Team,MP,Wins ,Draws,Losses,Goals for,Goals againsts,Goal difference,Points,season,
,Manchester City,38,28,5,5,93,29,64,89,2011-2012,
,Manchester United,38,28,5,5,89,33,56,89,2011-2012,
,Arsenal,38,21,7,10,74,49,25,70,2011-2012,
,Tottenham Hotspur,38,20,9,9,66,41,25,69,2011-2012,
,Newcastle United,38,19,8,11,56,51,5,65,2011-2012,
,Chelsea,38,18,10,10,65,46,19,64,2011-2012,
,Everton,38,15,11,12,50,40,10,56,2011-2012,
,Liverpool,38,14,10,14,47,40,7,52,2011-2012,
,Fulham,38,14,10,14,48,51,-3,52,2011-2012,
,West Bromwich Albion,38,13,8,17,45,52,-7,47,2011-2012,
,Swansea City,38,12,11,15,44,51,-7,47,2011-2012,
,Norwich City,38,12,11,15,52,66,-14,47,2011-2012,
,Sunderland,38,11,12,15,45,46,-1,45,2011-2012,
,Stoke City,38,11,12,15,36,53,-17,45,2011-2012,
,Wigan Athletic,38,11,10,17,42,62,-20,43,2011-2012,
,Aston Villa,38,7,17,14,37,53,-16,38,2011-2012,
,Queens Park Rangers,38,10,7,21,43,66,-23,37,2011-2012,
,Bolton Wanderers,38,10,6,22,46,77,-31,36,2011-2012,
,Blackburn Rovers,38,8,7,23,48,78,-30,31,2011-2012,
,Wolverhampton Wanderers,38,5,10,23,40,82,-42,25,2011-2012,
,Manchester City,38,27,5,6,102,37,65,86,2013-2014,
,Liverpool,38,26,6,6,101,50,51,84,2013-2014,
,Chelsea,38,25,7,6,71,27,44,82,2013-2014,
,Arsenal,38,24,7,7,68,41,27,79,2013-2014,
,Everton,38,21,9,8,61,39,22,72,2013-2014,
,Tottenham Hotspur,38,21,6,11,55,51,4,69,2013-2014,
,Manchester United,38,19,7,12,64,43,21,64,2013-2014,
,Southampton,38,15,11,12,54,46,8,56,2013-2014,
,Stoke City,38,13,11,14,45,52,-7,50,2013-2014,
,Newcastle United,38,15,4,19,43,59,-16,49,2013-2014,
,Crystal Palace,38,13,6,19,33,48,-15,45,2013-2014,
,Swansea City,38,11,9,18,54,54,0,42,2013-2014,
,West Ham United,38,11,7,20,40,51,-11,40,2013-2014,
,Sunderland,38,10,8,20,41,60,-19,38,2013-2014,
,Aston Villa,38,10,8,20,39,61,-22,38,2013-2014,
,Hull City,38,10,7,21,38,53,-15,37,2013-2014,
,West Bromwich Albion,38,7,15,16,43,59,-16,36,2013-2014,
,Norwich City,38,8,9,21,28,62,-34,33,2013-2014,
,Fulham,38,9,5,24,40,85,-45,32,2013-2014,
,Cardiff City,38,7,9,22,32,74,-42,30,2013-2014,
,Chelsea,38,26,9,3,73,32,41,87,2014-2015,
,Manchester City,38,24,7,7,83,38,45,79,2014-2015,
,Arsenal,38,22,9,7,71,36,35,75,2014-2015,
,Manchester United,38,20,10,8,62,37,25,70,2014-2015,
,Tottenham Hotspur,38,19,7,12,58,53,5,64,2014-2015,
,Liverpool,38,18,8,12,52,48,4,62,2014-2015,
,Southampton,38,18,6,14,54,33,21,60,2014-2015,
,Swansea City,38,16,8,14,46,49,-3,56,2014-2015,
,Stoke City,38,15,9,14,48,45,3,54,2014-2015,
,Crystal Palace,38,13,9,16,47,51,-4,48,2014-2015,
,Everton,38,12,11,15,48,50,-2,47,2014-2015,
,West Ham United,38,12,11,15,44,47,-3,47,2014-2015,
,West Bromwich Albion,38,11,11,16,38,51,-13,44,2014-2015,
,Leicester City,38,11,8,19,46,55,-9,41,2014-2015,
,Newcastle United,38,10,9,19,40,63,-23,39,2014-2015,
,Sunderland,38,7,17,14,31,53,-22,38,2014-2015,
,Aston Villa,38,10,8,20,31,57,-26,38,2014-2015,
,Hull City,38,8,11,19,33,51,-18,35,2014-2015,
,Burnley,38,7,12,19,28,53,-25,33,2014-2015,
,Queens Park Rangers,38,8,6,24,42,73,-31,30,2014-2015,
,Leicester City,38,23,12,3,68,36,32,81,2015-2016,
,Arsenal,38,20,11,7,65,36,29,71,2015-2016,
,Tottenham Hotspur,38,19,13,6,69,35,34,70,2015-2016,
,Manchester City,38,19,9,10,71,41,30,66,2015-2016,
,Manchester United,38,19,9,10,49,35,14,66,2015-2016,
,Southampton,38,18,9,11,59,41,18,63,2015-2016,
,West Ham United,38,16,14,8,65,51,14,62,2015-2016,
,Liverpool,38,16,12,10,63,50,13,60,2015-2016,
,Stoke City,38,14,9,15,41,55,-14,51,2015-2016,
,Chelsea,38,12,14,12,59,53,6,50,2015-2016,
,Everton,38,11,14,13,59,55,4,47,2015-2016,
,Swansea City,38,12,11,15,42,52,-10,47,2015-2016,
,Watford,38,12,9,17,40,50,-10,45,2015-2016,
,West Bromwich Albion,38,10,13,15,34,48,-14,43,2015-2016,
,Crystal Palace,38,11,9,18,39,51,-12,42,2015-2016,
,AFC Bournemouth,38,11,9,18,45,67,-22,42,2015-2016,
,Sunderland,38,9,12,17,48,62,-14,39,2015-2016,
,Newcastle United,38,9,10,19,44,65,-21,37,2015-2016,
,Norwich City,38,9,7,22,39,67,-28,34,2015-2016,
,Aston Villa,38,3,8,27,27,76,-49,17,2015-2016,
,Chelsea,38,30,3,5,85,33,52,93,2016-2017,
,Tottenham Hotspur,38,26,8,4,86,26,60,86,2016-2017,
,Manchester City,38,23,9,6,80,39,41,78,2016-2017,
,Liverpool,38,22,10,6,78,42,36,76,2016-2017,
,Arsenal,38,23,6,9,77,44,33,75,2016-2017,
,Manchester United,38,18,15,5,54,29,25,69,2016-2017,
,Everton,38,17,10,11,62,44,18,61,2016-2017,
,Southampton,38,12,10,16,41,48,-7,46,2016-2017,
,AFC Bournemouth,38,12,10,16,55,67,-12,46,2016-2017,
,West Bromwich Albion,38,12,9,17,43,51,-8,45,2016-2017,
,West Ham United,38,12,9,17,47,64,-17,45,2016-2017,
,Leicester City,38,12,8,18,48,63,-15,44,2016-2017,
,Stoke City,38,11,11,16,41,56,-15,44,2016-2017,
,Crystal Palace,38,12,5,21,50,63,-13,41,2016-2017,
,Swansea City,38,12,5,21,45,70,-25,41,2016-2017,
,Burnley,38,11,7,20,39,55,-16,40,2016-2017,
,Watford,38,11,7,20,40,68,-28,40,2016-2017,
,Hull City,38,9,7,22,37,80,-43,34,2016-2017,
,Middlesbrough,38,5,13,20,27,53,-26,28,2016-2017,
,Sunderland,38,6,6,26,29,69,-40,24,2016-2017,
